pearson_r,rmse,mae,job_id,length,duration_min
0.028914402313283356,34.123139145919964,25.761025334405975,19698456402009,14856,25.502799999999997
0.016587929633131986,16.379676486369025,9.013899053869297,32152944996796,11740,20.153666666666666
0.33158921634304744,1.4736740585060137,1.4077925891847285,14325428433915,14502,24.8951
0.5754617344192392,43.478285747968954,26.831423594030007,76906126390423,27256,46.78946666666666
0.007250279484795666,6.280525823364137,6.270388484875385,77269031514296,3409,5.8521166666666655
0.1562370456029242,96.56391165348244,84.84841595078242,15629296815607,4192,7.1962666666666655
0.0027083282753087874,18.08460312105957,16.6899840694807,65826617610580,18123,31.11115
0.08686980901647737,49.542951635509105,39.797529839838504,12698252974861,61980,106.39899999999999
0.21754579636528923,30.003775232258747,24.03127640175701,50047632569856,24779,42.537283333333335
0.6160281514380423,63.888055390855634,48.05594668930845,44576158587201,3683,6.3224833333333335
0.9139089818672664,2.0121112070988696,1.3646535879058956,40731808395786,21959,37.696283333333334
0.4305250750875373,76.16866179451907,33.88773571710451,73607718039521,4220,7.244333333333333
0.47900285978789436,40.80076528355534,24.99605855779665,34922540300168,27650,47.46583333333333
-0.026825117410098735,9.593023402125974,9.243956851426166,22888264960719,3757,6.449516666666667
0.8973860455363635,2.1086626966782718,1.5262537006787862,20498947403197,24833,42.629983333333335
0.8019752389832363,65.51933754624154,46.98669979765013,73201333485180,4330,7.433166666666666
0.09909012988591026,59.8231083818135,48.90940147978208,9686743627229,8628,14.811399999999999
0.7394574072276332,22.48457450435201,15.721745820311394,28953411600124,4967,8.526683333333333
0.020933344522732152,14.230757053622524,10.478303554949266,14380729009334,67805,116.39858333333333
-0.009910593923853114,19.57363373048768,19.567402848765635,18096476058256,3247,5.574016666666666
0.030213325550657956,10.530229918717142,10.028398827313996,33271929497962,3127,5.368016666666666
0.49187015466013145,40.49238028631547,24.53282853821628,63704583854915,24571,42.18021666666666
0.5194947481988972,37.863897034211526,23.513881154995403,65918602167831,24667,42.345016666666666
0.22592197651444715,58.31674566983977,38.89301413934649,52413800063987,16768,28.785066666666662
-0.07899091577973369,1.8762712691924481,1.6524115474004915,4600439273662,29958,51.4279
0.6467381864654725,44.05902598982086,24.624149637588637,79472144329573,17858,30.65623333333333
0.009273871226296276,7.197360439229672,5.852777464019336,74474964024887,5702,9.788433333333332
0.04825319071902693,55.846277132330684,44.30380272306438,21201596330943,23208,39.8404
0.284282094132802,1.2492449584465803,1.0346301938888196,35669253854067,9457,16.234516666666664
